year,month,rop,CIEAReal,oilprod,rea,reer,inf_cpi,ir_Tb,ir_policy,m1
2000,1,25.51,1.05,66449.89398,-10.91,112.85,14.28330807,31.5,27,257.5
2000,2,27.78,89.63,67065.69292,-9.57,112.5,14.93724879,31.5,27,259.7
2000,3,27.49,96.07,67098.94185,5.1,105.44,15.56982343,31.5,27,269
2000,4,22.76,92.16,67757.841,8.18,99.79,17.50939261,31.52,27,275.7
2000,5,27.74,98.03,68276.18633,4.19,97.72,18.72311002,31.84,27,279.5
2000,6,29.8,98.67,68074.38502,2.96,89.6,19.84547796,36.77,27,279.6
2000,7,28.68,96.62,68695.11506,4.64,82.3,22.06544581,40.6,27,276.9
2000,8,30.2,102.67,69526.13374,6.09,81.78,26.6038447,40.11,27,273.7
2000,9,33.14,98.36,69542.82359,10.09,85.16,32.29936743,38.08,27,293.3
2000,10,30.96,92.8,69980.33528,11.36,87.38,37.3821026,37.91,27,292.5
2000,11,32.55,94.3,70536.25218,10.65,88.2,40.07206378,41.99,27,325.1
2000,12,25.66,102.31,69280.21152,3.8,86.77,40.53972788,41.99,27,351.7
2001,1,25.62,100.14,69197.45217,0.68,86.47,40.92114959,41.99,27,356.7
2001,2,27.5,93.49,68718.72316,-5.1,87.73,40.13702541,41.99,27,350.7
2001,3,24.5,106.26,69380.84853,-3.45,89.81,41.94444444,43.47,27,351.8
2001,4,25.66,95.01,68451.2263,-7.75,91.24,39.49243989,45,27,353.4
2001,5,28.31,103.12,67760.75575,-7.47,92.78,37.9214392,46.32,27,346.2
2001,6,27.85,99.06,66206.98416,-12.56,95.51,36.83478701,46.68,27,337.9
2001,7,24.61,95.8,68146.13372,-25.41,97.34,34.89301525,46.75,27,356.6
2001,8,25.68,106.17,68319.82976,-46.08,96.9,32.02334167,42.91,27,372.9
2001,9,25.62,98.82,67852.78372,-49.95,98.19,28.30808226,38.8,27,391.7
2001,10,20.54,97.81,67750.0388,-54.61,100.97,25.60281313,34.83,27,414
2001,11,18.8,97.43,68100.41317,-59.3,102.66,23.67686498,33.11,27,460.9
2001,12,18.71,106.89,67692.71756,-57.34,102.33,21.29332478,29.7,27,512.2
2002,1,19.42,98.76,66957.16047,-50.57,102.65,19.86612979,27.48,27,497.1
2002,2,20.28,92.51,67028.49332,-47.51,101.79,18.32858016,23.71,27,485.9
2002,3,23.7,104.66,66824.84506,-37.25,100.42,16.02250489,23.37,24.5,489.4
2002,4,25.73,102.5,66288.446,-36.41,97.01,14.88874033,23.7,24.5,503.7
2002,5,25.35,105.72,66859.48293,-40.53,94.05,14.33866654,23.79,24.5,512.7
2002,6,24.08,105.19,66705.97192,-44.17,91.47,13.6812933,23.89439731,24.5,513.9
2002,7,25.74,107.53,67186.74967,-44.94,89.23,13.48739687,25.11584407,24.5,534.1
2002,8,26.65,108.92,66914.73151,-43.65,90.76,13.12917193,25.70457433,24.5,541.2
2002,9,28.4,112.33,67465.25136,-27.13,91.77,12.87657702,26.05768821,24.5,558.3
2002,10,27.54,106.47,68876.21022,-12.8,93.37,13.19379638,26.07,24.5,620.4
2002,11,24.34,114.89,69006.41022,-6.07,93.17,13.98858256,26.1,24.5,727.3
